id|BIK|namebanka|korschet
80|"040313716"|"ﾃﾅﾋﾅﾍﾄﾆﾈﾊ-ﾁﾀﾍﾊ"", ﾃ. ﾃﾅﾋﾅﾍﾄﾆﾈﾊ"""|"30101810000000000716"
81|"040314000"|"ﾐﾊﾖ ﾃﾎﾐﾟﾗﾈﾉ ﾊﾋﾞﾗ, ﾃ. ﾃﾎﾐﾟﾗﾈﾉ ﾊﾋﾞﾗ"|
82|"040314976"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾃﾎﾐﾟﾗﾈﾉ ﾊﾋﾞﾗ"""|"30101810300000000976"
83|"040315000"|"ﾐﾊﾖ ﾃﾓﾋﾜﾊﾅﾂﾈﾗﾈ, ﾃ. ﾃﾓﾋﾜﾊﾅﾂﾈﾗﾈ"|
84|"040315835"|"ﾈﾑﾒﾎﾊ"", ﾃ. ﾃﾓﾋﾜﾊﾅﾂﾈﾗﾈ"""|"30101810600000000835"
85|"040316000"|"ﾐﾊﾖ ﾄﾈﾍﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾄﾈﾍﾑﾊﾀﾟ"|
86|"040317000"|"ﾐﾊﾖ ﾊﾀﾋﾈﾍﾈﾍﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾊﾀﾋﾈﾍﾈﾍﾑﾊﾀﾟ"|
87|"040326531"|"ﾊﾀﾂﾊﾀﾇﾑﾊﾈﾉ ﾊﾑﾁ"", ﾑﾒ-ﾖﾀ ﾊﾀﾂﾊﾀﾇﾑﾊﾀﾟ"""|"30101810900000000531"
88|"040321000"|"ﾐﾊﾖ ﾂﾛﾑﾅﾋﾊﾈ, ﾑﾒ-ﾖﾀ ﾂﾛﾑﾅﾋﾊﾈ"|
89|"040323000"|"ﾐﾊﾖ ﾊﾀﾍﾅﾂﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾊﾀﾍﾅﾂﾑﾊﾀﾟ"|
90|"040326000"|"ﾐﾊﾖ ﾊﾐﾎﾏﾎﾒﾊﾈﾍ, ﾃ. ﾊﾐﾎﾏﾎﾒﾊﾈﾍ"|
91|"040326905"|"ﾌﾅﾒﾐﾀﾊﾎﾌﾁﾀﾍﾊ"" ﾂ ﾃ.ﾊﾐﾎﾏﾎﾒﾊﾈﾍﾅ, ﾃ. ﾊﾐﾎﾏﾎﾒﾊﾈﾍ"""|"30101810400000000905"
92|"040328000"|"ﾐﾊﾖ ﾊﾐﾛﾌﾑﾊ, ﾃ. ﾊﾐﾛﾌﾑﾊ"|
93|"040329000"|"ﾐﾊﾖ ﾊﾓﾐﾃﾀﾍﾈﾍﾑﾊ, ﾃ. ﾊﾓﾐﾃﾀﾍﾈﾍﾑﾊ"|
94|"040329706"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾊﾓﾐﾃﾀﾍﾈﾍﾑﾊ"""|"30101810600000000706"
95|"040331000"|"ﾐﾊﾖ ﾋﾀﾁﾈﾍﾑﾊ, ﾃ. ﾋﾀﾁﾈﾍﾑﾊ"|
96|"040333000"|"ﾐﾊﾖ ﾋﾀﾇﾀﾐﾅﾂﾑﾊﾈﾉ, ﾏ. ﾋﾀﾇﾀﾐﾅﾂﾑﾊﾎﾅ"|
97|"040333866"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾑﾎﾗﾈ,ﾋ-200"""|"30101810000000000866"
98|"040334000"|"ﾐﾊﾖ ﾊﾎﾐﾅﾍﾎﾂﾑﾊ, ﾃ. ﾊﾎﾐﾅﾍﾎﾂﾑﾊ"|
99|"040337000"|"ﾐﾊﾖ ﾏﾐﾈﾌﾎﾐﾑﾊﾎ-ﾀﾕﾒﾀﾐﾑﾊ, ﾃ. ﾏﾐﾈﾌﾎﾐﾑﾊﾎ-ﾀﾕﾒﾀﾐﾑﾊ"|
100|"040338000"|"ﾐﾊﾖ ﾍﾎﾂﾎﾊﾓﾁﾀﾍﾑﾊ, ﾃ. ﾍﾎﾂﾎﾊﾓﾁﾀﾍﾑﾊ"|
101|"040338728"|"ﾍﾎﾂﾎﾊﾓﾁﾀﾍﾑﾊﾈﾉ"", ﾃ. ﾍﾎﾂﾎﾊﾓﾁﾀﾍﾑﾊ"""|"30101810800000000728"
102|"040340000"|"ﾐﾊﾖ ﾊﾓﾙﾅﾂﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾊﾓﾙﾅﾂﾑﾊﾀﾟ"|
103|"040340921"|"ﾊﾐﾛﾋﾎﾂﾑﾊﾈﾉ"" (ﾎﾀﾎ), ﾑﾒ-ﾖﾀ ﾊﾐﾛﾋﾎﾂﾑﾊﾀﾟ"""|"30101810600000000921"
104|"040344000"|"ﾐﾊﾖ ﾋﾅﾍﾈﾍﾃﾐﾀﾄﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾋﾅﾍﾈﾍﾃﾐﾀﾄﾑﾊﾀﾟ"|
105|"040345000"|"ﾐﾊﾖ ﾎﾒﾐﾀﾄﾍﾀﾟ, ﾑﾒ-ﾖﾀ ﾎﾒﾐﾀﾄﾍﾀﾟ"|
106|"040346000"|"ﾐﾊﾖ ﾏﾀﾂﾋﾎﾂﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾏﾀﾂﾋﾎﾂﾑﾊﾀﾟ"|
107|"040349001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾊﾐﾀﾑﾍﾎﾄﾀﾐﾑﾊﾎﾌﾓ ﾊﾐ., ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"|
108|"040349602"|"ﾊﾐﾀﾑﾍﾎﾄﾀﾐﾑﾊﾎﾅ ﾎﾑﾁ N 8619, ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"|"30101810100000000602"
109|"040349712"|"ﾊﾐﾀﾑﾍﾎﾄﾀﾐﾑﾊﾈﾉ"" ﾎﾀﾎ ""ﾏﾑﾁ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810100000000712"
110|"040349713"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810400000000713"
111|"040349715"|"ﾏﾅﾐﾂﾎﾌﾀﾉﾑﾊﾈﾉ"" (ﾇﾀﾎ), ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810000000000715"
112|"040349718"|"ﾊﾓﾁﾀﾍﾜﾒﾎﾐﾃﾁﾀﾍﾊ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810900000000718"
113|"040349722"|"ﾊﾓﾁﾀﾍﾜ ﾊﾐﾅﾄﾈﾒ"" ﾎﾎﾎ, ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810200000000722"
114|"044552512"|"ﾎﾍﾝﾑﾒ ﾁﾀﾍﾊ"" ﾇﾀﾎ, ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810300000000512"
115|"040349745"|"ﾊﾓﾁﾀﾍﾑﾊﾈﾉ ﾓﾍﾈﾂﾅﾐﾑﾀﾋﾜﾍﾛﾉ ﾁﾀﾍﾊ"" (ﾎﾎﾎ), ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810300000000745"
116|"040349772"|"ﾊﾓﾁﾀﾍﾜﾁﾀﾍﾊ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810700000000772"
117|"040349781"|"ﾃﾀﾇﾏﾐﾎﾌﾁﾀﾍﾊ""(ﾇﾀﾎ) ﾂ ﾃ.ﾊﾐﾀﾑﾍﾎﾄﾀﾐﾅ, ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810500000000781"
118|"040349796"|"ﾐﾎﾑﾁﾀﾍﾊ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810100000000796"
119|"040349797"|"ﾑﾒﾐﾎﾉﾁﾀﾍﾊ"", ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ"""|"30101810400000000797"
120|"040352000"|"ﾐﾊﾖ ﾍﾎﾂﾎﾏﾎﾊﾐﾎﾂﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾍﾎﾂﾎﾏﾎﾊﾐﾎﾂﾑﾊﾀﾟ"|
121|"040352912"|"ﾍﾎﾂﾎﾏﾎﾊﾐﾎﾂﾑﾊﾈﾉ"", ﾑﾒ-ﾖﾀ ﾍﾎﾂﾎﾏﾎﾊﾐﾎﾂﾑﾊﾀﾟ"""|"30101810900000000912"
122|"040353000"|"ﾐﾊﾖ ﾑﾋﾀﾂﾟﾍﾑﾊ-ﾍﾀ-ﾊﾓﾁﾀﾍﾈ, ﾃ. ﾑﾋﾀﾂﾟﾍﾑﾊ-ﾍﾀ-ﾊﾓﾁﾀﾍﾈ"|
123|"040359000"|"ﾐﾊﾖ ﾑﾒﾀﾐﾎﾙﾅﾐﾁﾈﾍﾎﾂﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾑﾒﾀﾐﾎﾙﾅﾐﾁﾈﾍﾎﾂﾑﾊﾀﾟ"|
124|"040361000"|"ﾐﾊﾖ ﾒﾅﾌﾐﾞﾊ, ﾃ. ﾒﾅﾌﾐﾞﾊ"|
125|"040362000"|"ﾐﾊﾖ ﾑﾅﾂﾅﾐﾑﾊﾀﾟ, ﾑﾒ-ﾖﾀ ﾑﾅﾂﾅﾐﾑﾊﾀﾟ"|
126|"040364000"|"ﾐﾊﾖ ﾒﾓﾀﾏﾑﾅ, ﾃ. ﾒﾓﾀﾏﾑﾅ"|
127|"040364885"|"ﾌﾅﾒﾐﾀﾊﾎﾌﾁﾀﾍﾊ"" ﾂ ﾃ.ﾒﾓﾀﾏﾑﾅ, ﾃ. ﾒﾓﾀﾏﾑﾅ"""|"30101810700000000885"
128|"040364899"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾒﾓﾀﾏﾑﾅ"""|"30101810000000000899"
129|"040372000"|"ﾐﾊﾖ ﾒﾈﾌﾀﾘﾅﾂﾑﾊ, ﾃ. ﾒﾈﾌﾀﾘﾅﾂﾑﾊ"|
130|"040372928"|"ﾊﾓﾁﾀﾍﾜ"", ﾃ. ﾒﾈﾌﾀﾘﾅﾂﾑﾊ"""|"30101810400000000928"
131|"044552534"|"ﾅﾊﾀﾒﾅﾐﾈﾍﾈﾍﾑﾊﾈﾉ"", ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810100000000534"
132|"040373000"|"ﾐﾊﾖ ﾒﾈﾕﾎﾐﾅﾖﾊ, ﾃ. ﾒﾈﾕﾎﾐﾅﾖﾊ"|
133|"040377000"|"ﾐﾊﾖ ﾌﾎﾑﾒﾎﾂﾑﾊﾎﾉ, ﾏﾃﾒ. ﾌﾎﾑﾒﾎﾂﾑﾊﾎﾉ"|
134|"040378000"|"ﾐﾊﾖ ﾓﾑﾒﾜ-ﾋﾀﾁﾈﾍﾑﾊ, ﾃ. ﾓﾑﾒﾜ-ﾋﾀﾁﾈﾍﾑﾊ"|
135|"040393000"|"ﾐﾊﾖ ﾅﾉﾑﾊ, ﾃ. ﾅﾉﾑﾊ"|
136|"040393780"|"ﾃﾀﾇﾁﾀﾍﾊ"" ﾂ ﾃ.ﾅﾉﾑﾊﾅ, ﾃ. ﾅﾉﾑﾊ"""|"30101810300000000780"
137|"040393897"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾅﾉﾑﾊ"""|"30101810400000000897"
138|"040394002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾑﾅﾂﾅﾐﾍﾎﾅ, ﾃ. ﾊﾐﾀﾑﾍﾎﾄﾀﾐ-5"|
139|"040395000"|"ﾐﾊﾖ ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ, ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"|
140|"040395782"|"ﾔ-ﾋ ﾎﾀﾎ ﾂﾍﾅﾘﾒﾎﾐﾃﾁﾀﾍﾊ ﾂ ﾃ.ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊﾅ, ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"|"30101810700000000782"
141|"040395833"|"ﾂﾎﾇﾐﾎﾆﾄﾅﾍﾈﾅ""(ﾎﾀﾎ), ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"""|"30101810400000000833"
142|"040395746"|"ﾎﾎﾎ ﾀﾐﾏﾁ, ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"|"30101810500000000746"
143|"040395751"|"ﾏﾔﾑ ﾁﾀﾍﾊ"", ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"""|"30101810100000000751"
144|"040395779"|"ﾁﾀﾍﾊ ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊﾀ"", ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"""|"30101810700000000779"
145|"040395828"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾍﾎﾂﾎﾐﾎﾑﾑﾈﾉﾑﾊ"""|"30101810800000000828"
