"id"	"BIK"	"namebanka"	"korschet"	"UpDateFlag"
63	"040173745"	"яхаянжаюмй"" ннн, ц. аюпмюск"""	"30101810800000000745"	
64	"040173754"	"гепмнаюмй"", ц. аюпмюск"""	"30101810600000000754"	
65	"040180002"	"ос аюмйю пняяхх яреомне, ц. юкеияй 4"	""	
66	"040181002"	"ос аюмйю пняяхх ьнкнунбяйне, о. яхахпяйхи"	""	
67	"040303000"	"пйж юдкеп, ц. юдкеп"	""	
68	"040303888"	"чцаюмй"", ц. янвх,ю-341"""	"30101810900000000888"	
69	"040304000"	"пйж юмюою, ц. юмюою"	""	
70	"040304793"	"чцаюмй"", ц. юмюою"""	"30101810500000000793"	
71	"040305000"	"пйж юоьепнмяй, ц. юоьепнмяй"	""	
72	"040306000"	"пйж юплюбхп, ц. юплюбхп"	""	
73	"040306709"	"чцаюмй"", ц. юплюбхп"""	"30101810200000000709"	
74	"044585515"	"рпюяр йюохрюк аюмй"" гюн, ц. лняйбю"""	"30101810800000000515"	
75	"040306791"	"юпбеярю"", ц. юплюбхп"""	"30101810700000000791"	
76	"040309000"	"пйж аекнпевемяй, ц. аекнпевемяй"	""	
77	"044552516"	"лнянакхмбеяраюмй"", ц. длхрпнб"""	"30101810500000000516"	
78	"040312000"	"пйж юахмяй, ц. юахмяй"	""	
79	"040313000"	"пйж цекемдфхй, ц. цекемдфхй"	""	
80	"040313716"	"цекемдфхй-аюмй"", ц. цекемдфхй"""	"30101810000000000716"	
81	"040314000"	"пйж цнпъвхи йкчв, ц. цнпъвхи йкчв"	""	
82	"040314976"	"чцаюмй"", ц. цнпъвхи йкчв"""	"30101810300000000976"	
83	"040315000"	"пйж цскэйебхвх, ц. цскэйебхвх"	""	
84	"040315835"	"хярнй"", ц. цскэйебхвх"""	"30101810600000000835"	
85	"040316000"	"пйж дхмяйюъ, яр-жю дхмяйюъ"	""	
86	"040317000"	"пйж йюкхмхмяйюъ, яр-жю йюкхмхмяйюъ"	""	
87	"040326531"	"йюбйюгяйхи йяа"", яр-жю йюбйюгяйюъ"""	"30101810900000000531"	
88	"040321000"	"пйж бшяекйх, яр-жю бшяекйх"	""	
89	"040323000"	"пйж йюмебяйюъ, яр-жю йюмебяйюъ"	""	
90	"040326000"	"пйж йпнонрйхм, ц. йпнонрйхм"	""	
91	"040326905"	"лерпюйнлаюмй"" б ц.йпнонрйхме, ц. йпнонрйхм"""	"30101810400000000905"	
92	"040328000"	"пйж йпшляй, ц. йпшляй"	""	
93	"040329000"	"пйж йспцюмхмяй, ц. йспцюмхмяй"	""	
94	"040329706"	"чцаюмй"", ц. йспцюмхмяй"""	"30101810600000000706"	
95	"040331000"	"пйж кюахмяй, ц. кюахмяй"	""	
96	"040333000"	"пйж кюгюпебяйхи, о. кюгюпебяйне"	""	
97	"040333866"	"чцаюмй"", ц. янвх,к-200"""	"30101810000000000866"	
98	"040334000"	"пйж йнпемнбяй, ц. йнпемнбяй"	""	
99	"040337000"	"пйж опхлнпяйн-юурюпяй, ц. опхлнпяйн-юурюпяй"	""	
100	"040338000"	"пйж мнбнйсаюмяй, ц. мнбнйсаюмяй"	""	
101	"040338728"	"мнбнйсаюмяйхи"", ц. мнбнйсаюмяй"""	"30101810800000000728"	
102	"040340000"	"пйж йсыебяйюъ, яр-жю йсыебяйюъ"	""	
103	"040340921"	"йпшкнбяйхи"" (нюн), яр-жю йпшкнбяйюъ"""	"30101810600000000921"	
104	"040344000"	"пйж кемхмцпюдяйюъ, яр-жю кемхмцпюдяйюъ"	""	
105	"040345000"	"пйж нрпюдмюъ, яр-жю нрпюдмюъ"	""	
106	"040346000"	"пйж оюбкнбяйюъ, яр-жю оюбкнбяйюъ"	""	
107	"040349001"	"цпйж цс аюмйю пняяхх он йпюямндюпяйнлс йп., ц. йпюямндюп"	""	
108	"040349602"	"йпюямндюпяйне няа N 8619, ц. йпюямндюп"	"30101810100000000602"	
109	"040349712"	"йпюямндюпяйхи"" нюн ""ояа"", ц. йпюямндюп"""	"30101810100000000712"	
110	"040349713"	"чцаюмй"", ц. йпюямндюп"""	"30101810400000000713"	
111	"040349715"	"оепбнлюияйхи"" (гюн), ц. йпюямндюп"""	"30101810000000000715"	
112	"040349718"	"йсаюмэрнпцаюмй"", ц. йпюямндюп"""	"30101810900000000718"	
113	"040349722"	"йсаюмэ йпедхр"" ннн, ц. йпюямндюп"""	"30101810200000000722"	
114	"044552512"	"нмщяр аюмй"" гюн, ц. лняйбю"""	"30101810300000000512"	
115	"040349745"	"йсаюмяйхи смхбепяюкэмши аюмй"" (ннн), ц. йпюямндюп"""	"30101810300000000745"	
116	"040349772"	"йсаюмэаюмй"", ц. йпюямндюп"""	"30101810700000000772"	
117	"040349781"	"цюгопнлаюмй""(гюн) б ц.йпюямндюпе, ц. йпюямндюп"""	"30101810500000000781"	
118	"040349796"	"пняаюмй"", ц. йпюямндюп"""	"30101810100000000796"	
119	"040349797"	"ярпниаюмй"", ц. йпюямндюп"""	"30101810400000000797"	
120	"040352000"	"пйж мнбнонйпнбяйюъ, яр-жю мнбнонйпнбяйюъ"	""	
121	"040352912"	"мнбнонйпнбяйхи"", яр-жю мнбнонйпнбяйюъ"""	"30101810900000000912"	
122	"040353000"	"пйж якюбъмяй-мю-йсаюмх, ц. якюбъмяй-мю-йсаюмх"	""	
123	"040359000"	"пйж ярюпныепахмнбяйюъ, яр-жю ярюпныепахмнбяйюъ"	""	
124	"040361000"	"пйж релпчй, ц. релпчй"	""	
125	"040362000"	"пйж яебепяйюъ, яр-жю яебепяйюъ"	""	
126	"040364000"	"пйж рсюояе, ц. рсюояе"	""	
127	"040364885"	"лерпюйнлаюмй"" б ц.рсюояе, ц. рсюояе"""	"30101810700000000885"	
128	"040364899"	"чцаюмй"", ц. рсюояе"""	"30101810000000000899"	
129	"040372000"	"пйж рхлюьебяй, ц. рхлюьебяй"	""	
130	"040372928"	"йсаюмэ"", ц. рхлюьебяй"""	"30101810400000000928"	
131	"044552534"	"ейюрепхмхмяйхи"", ц. лняйбю"""	"30101810100000000534"	
132	"040373000"	"пйж рхунпежй, ц. рхунпежй"	""	
133	"040377000"	"пйж лнярнбяйни, оцр. лнярнбяйни"	""	
134	"040378000"	"пйж сярэ-кюахмяй, ц. сярэ-кюахмяй"	""	
135	"040393000"	"пйж еияй, ц. еияй"	""	
136	"040393780"	"цюгаюмй"" б ц.еияйе, ц. еияй"""	"30101810300000000780"	
137	"040393897"	"чцаюмй"", ц. еияй"""	"30101810400000000897"	
138	"040394002"	"ос аюмйю пняяхх яебепмне, ц. йпюямндюп-5"	""	
139	"040395000"	"пйж мнбнпняяхияй, ц. мнбнпняяхияй"	""	
140	"040395782"	"т-к нюн бмеьрнпцаюмй б ц.мнбнпняяхияйе, ц. мнбнпняяхияй"	"30101810700000000782"	
141	"040395833"	"бнгпнфдемхе""(нюн), ц. мнбнпняяхияй"""	"30101810400000000833"	
142	"040395746"	"ннн юпоа, ц. мнбнпняяхияй"	"30101810500000000746"	
143	"040395751"	"отя аюмй"", ц. мнбнпняяхияй"""	"30101810100000000751"	
144	"040395779"	"аюмй мнбнпняяхияйю"", ц. мнбнпняяхияй"""	"30101810700000000779"	
145	"040395828"	"чцаюмй"", ц. мнбнпняяхияй"""	"30101810800000000828"	
146	"040396000"	"пйж янвх, ц. янвх"	""	
147	"040396762"	"тхкхюк нюн бмеьрнпцаюмй б ц.янвх, ц. янвх"	"30101810400000000762"	
148	"040396844"	"янвх"", ц. янвх"""	"30101810700000000844"	
149	"040396717"	"янвхцюгопнлаюмй"", ц. янвх"""	"30101810400000000717"	
150	"044579273"	"лрх-аюмй"" (ннн), ц. лняйбю"""	"30101810400000000273"	
151	"040396761"	"чцаюмй"", ц. янвх"""	"30101810100000000761"	
152	"040396896"	"янвхмяйхи"" гюн""лефдсмюп.опнл.аюмй"", ц. янвх"""	"30101810800000000896"	
153	"040397002"	"ос аюмйю пняяхх желеяяйне, ц. мнбнпняяхияй 12"	""	
154	"040398002"	"лпу (ц.йпюямндюп) жу аюмйю пняяхх, ц. йпюямндюп"	""	
155	"040400000"	"пйж йспюцхмн, оцр. йспюцхмн"	""	
156	"040401000"	"пйж лхмсяхмяй, ц. лхмсяхмяй"	""	
157	"040405000"	"пйж мюгюпнбн, ц. мюгюпнбн"	""	
158	"040407001"	"цпйж цс аюмйю пняяхх он йпюямнъпяйнлс йп., ц. йпюямнъпяй"	""	
159	"040407777"	"тхкхюк нюн бмеьрнпцаюмй б ц.йпюямнъпяйе, ц. йпюямнъпяй"	"30101810200000000777"	
160	"040407627"	"бнярнвмн-яхахпяйхи аюмй яаепаюмйю пт, ц. йпюямнъпяй"	"30101810800000000627"	
161	"040407795"	"емхяеи"" (нюн), ц. йпюямнъпяй"""	"30101810800000000795"	
162	"040407816"	"ярпнлйнлаюмй"", ц. йпюямнъпяй"""	"30101810200000000816"	
163	"040407862"	"ядл-аюмй"" (нюн) б ц.йпюямнъпяйе, ц. йпюямнъпяй"""	"30101810500000000862"	
164	"044552742"	"лйа"" (нюн), ц. лняйбю"""	"30101810400000000742"	
165	"040407882"	"ннн йяйа"", ц. йпюямнъпяй"""	"30101810700000000882"	
166	"040408000"	"пйж дсдхмйю, ц. дсдхмйю"	""	
167	"040408704"	"цсаепмяйхи аюмй ""рюилшп"", ц. дсдхмйю"""	"30101810500000000704"	
168	"040410000"	"пйж яебепн-емхяеияйхи, оцр. яебепн-емхяеияйхи"	""	
169	"040412000"	"пйж аюкюурю, оцр. аюкюурю"	""	
170	"040413000"	"пйж ясунасгхляйне, я. ясунасгхляйне"	""	
171	"040426000"	"пйж рюяеебн, я. рюяеебн"	""	
172	"040427000"	"пйж лнршцхмн, оцр. лнршцхмн"	""	
173	"040435000"	"пйж гюнгепмши, ц. гюнгепмши"	""	
174	"040435837"	"йедп"", ц. гекемнцнпяй"""	"30101810800000000837"	
175	"040436000"	"пйж нйръапэяйнцн пюинмю, ц. йпюямнъпяй"	""	
176	"040436811"	"ъпаюмй"", ц. йпюямнъпяй"""	"30101810700000000811"	
177	"040436819"	"йедп"", ц. йпюямнъпяй"""	"30101810100000000819"	
178	"040444000"	"пйж ьюпшонбн, ц. ьюпшонбн"	""	
179	"040447000"	"пйж рспсуюмяй, я. рспсуюмяй"	""	
180	"040452000"	"пйж йюмяй, ц. йюмяй"	""	
181	"040452720"	"йюмяйхи"" ннн, ц. йюмяй"""	"30101810600000000720"	
182	"040454000"	"пйж анцсвюмш, я. анцсвюмш"	""	
183	"040461000"	"пйж ьсьемяйне, оцр. ьсьемяйне"	""	
184	"040463000"	"пйж мхфмхи хмцюь, оцр. мхфмхи хмцюь"	""	
185	"040464000"	"пйж сфсп, ц. сфсп"	""	
186	"040464838"	"йедп"", ц. сфсп"""	"30101810100000000838"	
187	"040465000"	"пйж кеяняхахпяй, ц. кеяняхахпяй"	""	
188	"040467000"	"пйж анкэьюъ лспрю, оцр. анкэьюъ лспрю"	""	
189	"040469000"	"пйж емхяеияй, ц. емхяеияй"	""	
190	"040483786"	"емхяеияйхи назедхмеммши аюмй"", ц. йпюямнъпяй"""	"30101810800000000786"	
191	"040477000"	"пйж хцюпйю, ц. хцюпйю"	""	
192	"040480000"	"пйж хпаеияйне, я. хпаеияйне"	""	
193	"040481000"	"пйж ювхмяй, ц. ювхмяй"	""	
194	"040481820"	"йедп"", ц. ювхмяй"""	"30101810500000000820"	
195	"040483000"	"пйж янберяйнцн пюинмю, ц. йпюямнъпяй"	""	
196	"044030757"	"яхюа"", ц. яюмйр-оерепаспц"""	"30101810600000000757"	
197	"040484000"	"пйж фекегмнднпнфмнцн пюинмю, ц. йпюямнъпяй"	""	
198	"040485000"	"пйж кемхмяйнцн пюинмю, ц. йпюямнъпяй"	""	
199	"040486002"	"ос аюмйю пняяхх певмне, о. янкмевмши"	""	
200	"040487002"	"ос аюмйю пняяхх тпсмгемяйне, ц. йпюямнъпяй 66"	""	
201	"040488002"	"ос аюмйю пняяхх ьхьйхмяйне, ц. йюмяй"	""	
202	"040483905"	"ъпаюмй"" б ц.фекегмнцнпяйе, ц. фекегмнцнпяй"""	"30101810500000000905"	
203	"040494000"	"пйж йндхмяйхи, ц. йндхмяй йефеляйнцн"	""	
204	"040495000"	"пйж мнпхкэяй, ц. мнпхкэяй"	""	
205	"040495879"	"рюилшп"" ц.йюиепйюм, ц. йюиепйюм"""	"30101810600000000879"	
206	"040496000"	"пйж анцнрнк, ц. анцнрнк"	""	
207	"040501000"	"пйж йюлемэ-пшанкнб, я. йюлемэ-пшанкнб"	""	
208	"040502000"	"пйж оепбнлюияйхи, ц. бкюдхбнярнй"	""	
209	"040502713"	"лепйспхи"", ц. бкюдхбнярнй"""	"30101810900000000713"	
210	"040502717"	"опхлрепйнлаюмй"", ц. бкюдхбнярнй"""	"30101810100000000717"	
211	"040503000"	"пйж яоюяяй-дюкэмхи, ц. яоюяяй-дюкэмхи"	""	
212	"040504000"	"пйж юпяемэеб, ц. юпяемэеб"	""	
213	"040504615"	"юпяемэебяйне няа N7718, ц. юпяемэеб"	"30101810400000000615"	
214	"040507001"	"цпйж цс аюмйю пняяхх он опхлнпяйнлс йп., ц. бкюдхбнярнй"	""	
215	"040507601"	"опхлнпяйне няа N8635, ц. бкюдхбнярнй"	"30101810800000000601"	
216	"040507704"	"дюкэпшааюмй"", ц. бкюдхбнярнй"""	"30101810600000000704"	
217	"040507705"	"дюкэмебнярнвмши аюмй"", ц. бкюдхбнярнй"""	"30101810900000000705"	
218	"040507711"	"баа"", ц. бкюдхбнярнй"""	"30101810800000000711"	
219	"040502795"	"опхлнпэе"", ц. бкюдхбнярнй"""	"30101810300000000795"	
220	"040507803"	"опхлянжаюмй"", ц. бкюдхбнярнй"""	"30101810200000000803"	
221	"040508000"	"пйж сяяспхияй, ц. сяяспхияй"	""	
222	"040508619"	"сяяспхияйне няа N4140, ц. сяяспхияй"	"30101810200000000619"	
223	"040508734"	"дюкэмебнярнвмши аюмй"", ц. сяяспхияй"""	"30101810800000000734"	
224	"040508744"	"лепйспхи"", ц. сяяспхияй"""	"30101810900000000744"	
225	"040508810"	"баа"", ц. сяяспхияй"""	"30101810300000000810"	
226	"040509000"	"пйж дюкэмецнпяй, ц. дюкэмецнпяй"	""	
227	"040510000"	"пйж мюундйю, ц. мюундйю"	""	
228	"040510828"	"тхкхюк нюн бмеьрнпцаюмй б ц.мюундйе, ц. мюундйю"	"30101810900000000828"	
229	"040510602"	"мюундйхмяйне няа N7151, ц. мюундйю"	"30101810100000000602"	
230	"040510716"	"дюкэмебнярнвмши аюмй"", ц. мюундйю"""	"30101810300000000716"	
231	"040510802"	"баа"", ц. мюундйю"""	"30101810900000000802"	
232	"040511000"	"пйж онцпюмхвмне, о. онцпюмхвмши"	""	
233	"040514000"	"пйж оюпрхгюмяй, ц. оюпрхгюмяй"	""	
234	"040514720"	"дюкэмебнярнвмши аюмй"", ц. оюпрхгюмяй"""	"30101810200000000720"	
235	"040515000"	"пйж нкэцю, оцр. нкэцю"	""	
236	"040518000"	"пйж юпрел, ц. юпрел"	""	
237	"040518715"	"дюкэмебнярнвмши аюмй"", ц. юпрел"""	"30101810200000000715"	
238	"040523000"	"пйж якюбъмйю, о. якюбъмйю"	""	
239	"040523770"	"дюкэмебнярнвмши аюмй"", оцр. якюбъмйю"""	"30101810100000000770"	
240	"040526000"	"пйж анкэьни йюлемэ, ц. анкэьни йюлемэ"	""	
241	"040526780"	"анкэьни йюлемэ аюмй"", ц. анкэьни йюлемэ"""	"30101810900000000780"	
242	"040527000"	"пйж ксвецнпяй, о. ксвецнпяй"	""	
243	"040528000"	"пйж кеянгюбндяй, ц. кеянгюбндяй"	""	
244	"040536000"	"пйж всцсебйю, я. всцсебйю"	""	
245	"040539000"	"пйж дюкэмепевемяй, ц. дюкэмепевемяй"	""	
246	"040581002"	"ос аюмйю пняяхх щйхоюфмне, ц. бкюдхбнярнй 1"	""	
247	"040582002"	"ос аюмйю пняяхх йюгювэе, ц. сяяспхияй 12"	""	
248	"040583002"	"ос аюмйю пняяхх опхапефмне, ц. тнйхмн"	""	
249	"040585002"	"ос аюмйю пняяхх чфмне, о. аюпюаюь"	""	
250	"040587002"	"ос аюмйю пняяхх нгепмне, я. яепцеебйю"	""	
251	"040588002"	"ос аюмйю пняяхх йедпнбне, ц. ярюпняшянебйю"	""	
252	"040589002"	"ос аюмйю пняяхх ярюмхвмне, лнмюяршпхые 2 вепмхцнбяй."	""	
253	"040701000"	"пйж асдеммнбяй, ц. асдеммнбяй"	""	
254	"040701707"	"птн аюмй"" ннн"", ц. акюцндюпмши"""	"30101810100000000707"	
255	"040701708"	"опхйслэе"" (нюн), ц. асдеммнбяй"""	"30101810400000000708"	
256	"040701737"	"ярюбпнонкэе""нюн б ц.асдеммнбяйе, ц. асдеммнбяй"""	"30101810400000000737"	
257	"040702001"	"цпйж цс аюмйю пняяхх он ярюбпнонкэяйнлс йп., ц. ярюбпнонкэ"	""	
258	"040702788"	"тхкхюк нюн бмеьрнпцаюмй б ц.ярюбпнонке, ц. ярюбпнонкэ"	"30101810100000000788"	
259	"040702760"	"ярюбпнонкэопнлярпниаюмй-нюн, ц. ярюбпнонкэ"	"30101810500000000760"	
260	"040704000"	"пйж мебхммнлшяяй, ц. мебхммнлшяяй"	""	
261	"040707000"	"пйж ярюбпнонкэ, ц. ярюбпнонкэ"	""	
262	"040707644"	"яебепн-йюбйюгяйхи аюмй яаепаюмйю пт, ц. ярюбпнонкэ"	"30101810100000000644"	
263	"040708000"	"пйж оърхцнпяй, ц. оърхцнпяй"	""	
264	"040708720"	"лерпюйнлаюмй""б ц.лхм-бндш, ц. лхмепюкэмше бндш"""	"30101810500000000720"	
265	"040708723"	"лхмепюкнбндяйхи"", ц. лхмепюкэмше бндш"""	"30101810400000000723"	
266	"040708733"	"оърхцнпяй"", ц. оърхцнпяй"""	"30101810500000000733"	
267	"040708746"	"ярюбпнонкэе""-нюн б ц.оърхцнпяйе, ц. оърхцнпяй"""	"30101810500000000746"	
268	"040708749"	"фекегмнбндяй"", ц. фекегмнбндяй"""	"30101810400000000749"	
269	"040708774"	"яебйюбхмбеяраюмй"", ц. оърхцнпяй"""	"30101810200000000774"	
270	"040708775"	"цпхя-аюмй"", ц. оърхцнпяй"""	"30101810500000000775"	
271	"040709000"	"пйж хгнахкэмши, ц. хгнахкэмши"	""	
272	"040709748"	"ярюбпнонкэе"" - нюн, о. янкмевмнднкэяй"""	"30101810000000000748"	
273	"040711000"	"пйж юкейяюмдпнбяйне, я. юкейяюмдпнбяйне"	""	
274	"040714000"	"пйж яберкнцпюд, ц. яберкнцпюд"	""	
275	"040714716"	"хоюрнбяйхи"" ннн, ц. хоюрнбн"""	"30101810900000000716"	
276	"040714753"	"ярюбпнонкэе""нюн б ц.яберкнцпюде, ц. яберкнцпюд"""	"30101810400000000753"	
277	"040715000"	"пйж йхякнбндяй, ц. йхякнбндяй"	""	
278	"040715738"	"ярюбпнонкэе""нюн б ц.йхякнбндяйе, ц. йхякнбндяй"""	"30101810600000000738"	
279	"040717000"	"пйж ценпцхебяй, ц. ценпцхебяй"	""	
280	"040717713"	"гекемнйсляйхи"" (нюн), ц. гекемнйсляй"""	"30101810700000000713"	
281	"040724000"	"пйж еяяемрсйх, ц. еяяемрсйх"	""	
282	"040724712"	"опедцнпэе"", яр-жю еяяемрсйяйюъ"""	"30101810000000000712"	
283	"040724747"	"ярюбпнонкэе""- нюн б ц.еяяемрсйх, ц. еяяемрсйх"""	"30101810800000000747"	
284	"040728000"	"пйж йпюямнцбюпдеияйне, я. йпюямнцбюпдеияйне"	""	
285	"040813001"	"цпйж цс аюмйю пняяхх он уюаюпнбяйнлс йп., ц. уюаюпнбяй"	""	
286	"040813727"	"тхкхюк нюн бмеьрнпцаюмй б ц.уюаюпнбяйе, ц. уюаюпнбяй"	"30101810400000000727"	
287	"040813608"	"дюкэмебнярнвмши аюмй яаепаюмйю пт, ц. уюаюпнбяй"	"30101810600000000608"	
288	"040813700"	"сяяспх"" нюн, ц. уюаюпнбяй"""	"30101810100000000700"	
289	"040813701"	"дюкэмебнярнвмне нбй"" (нюн), ц. уюаюпнбяй"""	"30101810400000000701"	
290	"040813715"	"бнгпнфдемхе""(нюн), ц. уюаюпнбяй"""	"30101810700000000715"	
291	"040813718"	"дюкэйнлаюмй"", ц. уюаюпнбяй"""	"30101810600000000718"	
292	"040813737"	"гюн пецхнаюмй, ц. уюаюпнбяй"	"30101810500000000737"	
293	"040813762"	"цпюд-аюмй"", ц. уюаюпнбяй"""	"30101810300000000762"	
294	"040815000"	"пйж вецднлшм, оцр. вецднлшм"	""	
295	"040816000"	"пйж янберяйюъ цюбюмэ, ц. янберяйюъ цюбюмэ"	""	
296	"040825000"	"пйж йнлянлнкэяй-мю-юлспе, ц. йнлянлнкэяй-мю-юлспе"	""	
297	"040825601"	"нрд. яа пт N 4205 жемрпюкэмне, ц. йнлянлнкэяй-мю-юлспе"	"30101810600000000601"	
298	"040825721"	"пецхнаюмй""  йнлянлнкэяйхи, ц. йнлянлнкэяй-мю-юлспе"""	"30101810700000000721"	
299	"040825773"	"дгелцх"", ц. йнлянлнкэяй-мю-юлспе"""	"30101810800000000773"	
300	"040881002"	"ос аюмйю пняяхх опхюлспяйне, ц. уюаюпнбяй 38"	""	
301	"040882002"	"ос аюмйю пняяхх убнимне, ц. йнлянлнкэяй-мю-юлспе 8"	""	
302	"040884002"	"ос аюмйю пняяхх певмне, ц. уюаюпнбяй 47"	""	
303	"040885002"	"ос аюмйю пняяхх рюефмне, ц. йнлянлнкэяй-мю-юлспе 31"	""	
304	"040886002"	"ос аюмйю пняяхх ярюмжхнммне, ц. ахйхм 1 уюаюпнбяйнцн йпюъ"	""	
305	"041012001"	"цпйж цс аюмйю пняяхх он юлспяйни нак., ц. акюцнбеыемяй"	""	
306	"041012603"	"акюцнбеыемяйне няа N 8636, ц. акюцнбеыемяй"	"30101810200000000603"	
307	"041012718"	"дюкэбмеьрнпцаюмй"", ц. акюцнбеыемяй"""	"30101810700000000718"	
308	"041012723"	"юлспаюмй"", ц. акюцнбеыемяй"""	"30101810300000000723"	
309	"041012755"	"ясоепаюмй"", ц. акюцнбеыемяй"""	"30101810200000000755"	
310	"041012765"	"юлспопнлярпниаюмй"", ц. акюцнбеыемяй"""	"30101810300000000765"	
311	"041012778"	"ябъгэ-аюмй"", ц. акюцнбеыемяй"""	"30101810300000000778"	
312	"041013000"	"пйж ршмдю, ц. ршмдю"	""	
313	"041018000"	"пйж пюивхухмяй, ц. пюивхухмяй"	""	
314	"041023000"	"пйж ябнандмши, ц. ябнандмши"	""	
315	"041023758"	"аекнцнпяйюцпнйнлаюмй"", ц. аекнцнпяй"""	"30101810300000000758"	
